Title,Subtitle,City,Zip,Date,Program,Services
Sabinas House LLC,"605 Springfield Avenue,",Baltimore,21212,Date: 02/06/2021 Through 02/05/2024,Program: Behavioral Health,"Service: Outpatient Treatment, Outpatient TreatmentResidential Treatment, Residential TreatmentSupervised Group Living, Supervised Group Livin"
Sabinas House LLC,"3103 Mareco Avenue,",Baltimore,21213,Date: 02/06/2021 Through 02/05/2024,Program: Behavioral Health,"Service: Outpatient Treatment, Outpatient TreatmentResidential Treatment, Residential TreatmentSupervised Group Living, Supervised Group Livin"
Sabinas House LLC,"3103 Mareco Avenue,",Baltimore,21213,Date: 02/06/2021 Through 02/05/2024,Program: Behavioral Health,"Service: Outpatient Treatment, Outpatient TreatmentResidential Treatment, Residential TreatmentSupervised Group Living, Supervised Group Livin"
Sabinas House LLC,"3325 Shannon Drive,",Baltimore,21213,Date: 02/06/2021 Through 02/05/2024,Program: Behavioral Health,"Service: Outpatient Treatment, Outpatient TreatmentResidential Treatment, Residential TreatmentSupervised Group Living, Supervised Group Livin"
Sabinas House LLC,"3325 Shannon Drive,",Baltimore,21213,Date: 02/06/2021 Through 02/05/2024,Program: Behavioral Health,"Service: Outpatient Treatment, Outpatient TreatmentResidential Treatment, Residential TreatmentSupervised Group Living, Supervised Group Livin"
Sabinas House LLC,"616 Wildwood Parkway,",Baltimore,21229,Date: 02/06/2021 Through 02/05/2024,Program: Behavioral Health,"Service: Outpatient Treatment, Outpatient TreatmentResidential Treatment, Residential TreatmentSupervised Group Living, Supervised Group Livin"
Sabinas House LLC,"616 Wildwood Parkway,",Baltimore,21229,Date: 02/06/2021 Through 02/05/2024,Program: Behavioral Health,"Service: Outpatient Treatment, Outpatient TreatmentResidential Treatment, Residential TreatmentSupervised Group Living, Supervised Group Livin"
Sabinas House LLC,"2224 N. Dukeland Street,",Baltimore,21216,Date: 02/06/2021 Through 02/05/2024,Program: Behavioral Health,"Service: Outpatient Treatment, Outpatient TreatmentResidential Treatment, Supervised Group Living"
Sabinas House LLC,"2224 N. Dukeland Street,",Baltimore,21216,Date: 02/06/2021 Through 02/05/2024,Program: Behavioral Health,"Service: Outpatient Treatment, Outpatient TreatmentResidential Treatment, Supervised Group Living"
SafeSpace Health & Wellness,"7811 Wise Ave,",Dundalk,21222,Date: 08/25/2022 Through 02/24/2024,Program: Behavioral Health,"Service: Intensive Outpatient Treatment, Outpatient TreatmentPsychological Rehabilitation for Minors, Psychosocial Rehabilitation"
Samaritan House's Inc.,"2610 Green Briar Lane, Building 1 and Building 2",Annapolis,21401,Date: 03/08/2021 Through 03/07/2024,Program: Behavioral Health,"Service: Outpatient Treatment, Supervised Group Living"
Self-Determined Recovery LLC,"4729 Hazelwood Ave.,",Baltimore ,21206,Date: 04/27/2022 Through 04/26/2025,Program: Behavioral Health,Service: Residential Treatment
"Taylor Wellness Center, Inc","1314 Bedford Ave Ste 114,",Pikesville,21208,Date: 05/13/2023 Through 05/12/2026,Program: Behavioral Health,"Service: Outpatient Treatment, Partial Hospitalization Services"
The Bergand Group,"1300 York Road,The York Green Building, Building C, Suite 100",Lutherville,21093,Date: 03/26/2021 Through 03/25/2024,Program: Behavioral Health,"Service: Intensive Outpatient Treatment, Outpatient Treatmen"
The Bergand Group,"1803 Harford Road,",Fallston,21047,Date: 03/26/2021 Through 03/25/2024,Program: Behavioral Health,"Service: Intensive Outpatient Treatment, Outpatient Treatmen"
"The Carter Clinic, PA","5438 York rd suite 103,",Baltimore,21212,Date: 11/23/2022 Through 11/22/2025,Program: Behavioral Health,"Service: Community Support, Day Treatment, Outpatient Treatment"
"The Elysian Fields Optimum Wellness and Mental Health Group, LLC","2222 North Howard Street,",Baltimore,21218,Date: 11/28/2020 Through 02/28/2024,Program: Behavioral Health,"Service: Intensive Outpatient Treatment, Outpatient TreatmentResidential Treatment, Supervised Group Living"
"The Elysian Fields Optimum Wellness and Mental Health Group, LLC","2222 North Howard Street,",Baltimore,21218,Date: 10/31/2022 Through 02/28/2024,Program: Behavioral Health,"Service: Partial Hospitalization Services, Psychosocial Rehabilitation"
"The Elysian Fields Optimum Wellness and Mental Health Group, LLC","3401 Elgin Avenue,",Baltimore,21216,Date: 10/31/2020 Through 02/28/2024,Program: Behavioral Health,"Service: Outpatient Treatment, Residential Treatment, Supervised Group Living"
"The Elysian Fields Optimum Wellness and Mental Health Group, LLC","3307 Henry G. Parks Jr. Circle,",Baltimore,21215,Date: 10/31/2020 Through 02/28/2024,Program: Behavioral Health,"Service: Outpatient Treatment, Residential Treatment, Supervised Group Living"
"The Elysian Fields Optimum Wellness and Mental Health Group, LLC","4241 Sheldon Avenue,",Baltimore,21206,Date: 10/31/2020 Through 02/28/2024,Program: Behavioral Health,"Service: Outpatient Treatment, Residential Treatment, Supervised Group Living"
"The Elysian Fields Optimum Wellness and Mental Health Group, LLC","2903 Erdman Avenue,",Baltimore,21213,Date: 10/31/2020 Through 02/28/2024,Program: Behavioral Health,"Service: Outpatient Treatment, Residential Treatment, Supervised Group Living"
"The Elysian Fields Optimum Wellness and Mental Health Group, LLC","3305 Henry G Parks Jr. Circle,",Baltimore,21215,Date: 06/12/2021 Through 02/28/2024,Program: Behavioral Health,"Service: Outpatient Treatment, Residential Treatment, Supervised Group Living"
"The Elysian Fields Optimum Wellness and Mental Health Group, LLC","2901 Erdman Ave,",Baltimore,21213,Date: 11/30/2022 Through 02/28/2024,Program: Behavioral Health,"Service: Outpatient Treatment, Residential Treatment, Supervised Group Living"
"The Elysian Fields Optimum Wellness and Mental Health Group, LLC","339 Bloom Street,",Baltimore,21217,Date: 11/30/2022 Through 02/28/2024,Program: Behavioral Health,Service: Residential Treatment
The Healthy Teen Project,"919 Fremont Ave Suite 100,",Los Altos,94024,Date: 01/25/2023 Through 01/24/2026,Program: Behavioral Health,"Service: Intensive Outpatient Treatment, Partial Hospitalization Services"
The Healthy Teen Project,"1400 Tennessee St., Unit 3",San Francisco,94107,Date: 01/25/2023 Through 01/24/2026,Program: Behavioral Health,"Service: Intensive Outpatient Treatment, Partial Hospitalization Services"
The Robert Sylvia Group,"1800 N. Charles Street Suite 904,",Baltimore,21201,Date: 01/03/2022 Through 01/02/2025,Program: Behavioral Health,"Service: Intensive Outpatient Treatment, Outpatient TreatmentPsychosocial Rehabilitation"
Transformed Perspectives Inc.,"4709 Harford Rd Suite #6,",Baltimore ,21214,Date: 01/04/2022 Through 01/03/2025,Program: Behavioral Health,"Service: Psychological Rehabilitation for Minors, Psychosocial Rehabilitation"
Utopia Health Center,"11355 Pembrooke Square, Suite 108a,",Waldorf,20603,Date: 04/13/2021 Through 04/12/2024,Program: Behavioral Health,"Service: Intensive Outpatient Treatment, Outpatient Treatmen"
Utopia Health Clinic,"7317 Hanover Parkway,Suite A,",Greenbelt,20770,Date: 04/13/2021 Through 04/12/2024,Program: Behavioral Health,"Service: Intensive Outpatient Treatment, Outpatient TreatmentPsychosocial Rehabilitation"
"Valenta, Inc.","9479 Haven Ave.,",Rancho Cucamonga,91730,Date: 11/29/2021 Through 11/29/2024,Program: Behavioral Health,Service: Outpatient Treatment
Wisdom Health Care Services,"901 Eastern Blvd,",Essex,21221,Date: 08/03/2021 Through 08/02/2024,Program: Behavioral Health,"Service: Intensive Outpatient Treatment, Outpatient TreatmentPsychological Rehabilitation for Minors, Psychosocial Rehabilitation, Supported Employment Services"
"Wisdom Health Care Services, Inc.","9105 Belair Road,",Nottingham,21236,Date: 08/02/2022 Through 08/01/2025,Program: Behavioral Health,"Service: Intensive Outpatient Treatment, Outpatient TreatmentPsychological Rehabilitation for Minors, Psychosocial Rehabilitation, Supported Employment Services"
"Wisdom Health Care Services, Inc.","136 S. Philadelphia Boulevard Unit D,",Aberdeen,21001,Date: 08/02/2022 Through 08/01/2025,Program: Behavioral Health,"Service: Intensive Outpatient Treatment, Outpatient TreatmentPsychological Rehabilitation for Minors, Psychosocial Rehabilitation, Supported Employment Services"
